          Name    4-char code  Latitude     Longitude   Elevation(m)
               Belsk  0399     51.836667     20.791667    190.000000
              Fresno  0400     36.781733   -119.773167     97.000000
      IHOP-Homestead  0401     36.558333   -100.606183    850.000000
            Toravere  0402     58.264895     26.466823     85.000000
            Corcoran  0403     36.103430   -119.566100    110.000000
             Andenes  0404     69.278333     16.008611    379.000000
                SMEX  0405     41.936000    -93.664000    316.000000
             Halifax  0406     44.638000    -63.594000     65.000000
        Villefranche  0407     43.683889      7.328889    130.000000
        Jaru_Reserve  0408    -10.083333    -61.933333    162.000000
        CRYSTAL_FACE  0409     25.650167    -80.422167      5.000000
      Ji_Parana_UNIR  0410    -10.882212    -61.968600    175.000000
          North_Pole  0411     88.803330     24.254330      1.000000
     Wits_University  0412    -26.192444     28.028972   1775.000000
         Ahi_De_Cara  0413     37.120000     -3.430000   2145.000000
             Armilla  0414     37.134258     -3.631519    687.000000
              Pitres  0415     36.935778     -3.326081   1246.000000
        Kuujjuarapik  0416     55.280000    -77.760000     20.000000
         Porto_Velho  0417     -8.770000    -63.950000    110.000000
         FORTH_CRETE  0418     35.332694     25.282417     20.000000
     AntarcticaDomeC  0419    -75.099953    123.331299   3269.000000
            Palencia  0420     41.988572     -4.515694    750.000000
            Canberra  0421    -35.271300    149.111100    600.000000
             Lannion  0422     48.730833     -3.461944     15.000000
    Amsterdam_Island  0423    -37.799544     77.571946     49.000000
       Chulalongkorn  0424     13.736111    100.530278    115.000000
               Omkoi  0425     17.798333     98.431667   1120.000000
               Pimai  0426     15.181944    102.564167    220.000000
             Hua_Hin  0427     12.634444     99.951111      1.000000
          Palgrunden  0428     58.755333     13.151500     49.000000
           Bac_Giang  0429     21.291416    106.225472     15.000000
            Bac_Lieu  0430      9.280000    105.730000     10.000000
           Cabo_Raso  0431     38.709370     -9.485870     20.000000
          Carpentras  0432     44.083333      5.058333    107.000000
     North_Pole_2003  0433     89.700000    180.000000      0.000000
        Kellogg_LTER  0434     42.407983    -85.371717    293.000000
            Rossfeld  0435     48.335139      7.624750    167.000000
              Cabauw  0436     51.971000      4.927000     -0.700000
        Longyearbyen  0437     78.222833     15.649000     30.000000
         Great_Falls  0438     39.005333    -77.245000      0.000000
      Riverside_Park  0439     38.716667    -77.066667     16.000000
           Rockville  0440     39.056085    -77.129582    111.000000
            The_Mall  0441     38.889522    -77.030917      6.000000
      Greenbelt_Park  0442     38.746000    -76.893550     75.000000
  KIPP_Ujima_Village  0443     39.344456    -76.658864     85.000000
      Worthington_ES  0444     39.244536    -76.792985    160.000000
      Mt_Royal_ES_MS  0445     39.309093    -76.625087     80.000000
    Mt_Washington_ES  0446     39.366310    -76.654590    100.000000
        Southeast_MS  0447     39.284685    -76.530643     19.000000
  Talmudical_Academy  0448     39.369406    -76.746190    145.000000
           Sugarcone  0449     39.384722    -76.685833     97.000000
   Frederick_Douglas  0450     39.315484    -76.654572     80.000000
      Hamilton_El_MS  0451     39.358986    -76.558236    100.000000
      Lakeland_El_MS  0452     39.254146    -76.645314     38.000000
        Lansdowne_HS  0453     39.245066    -76.648472     35.000000
     Robert_Poole_MS  0454     39.330410    -76.637520     66.000000
  Waters_Art_Gallery  0455     39.300000    -76.616667     38.000000
         Patapsco_MS  0456     39.303046    -76.847241    125.000000
         Catonsville  0457     39.279000    -76.752500    146.000000
         Fells_Point  0458     39.282554    -76.594372     13.000000
   Windsor_Corp_Park  0459     39.326500    -76.754500    157.000000
    St_Timothys_Lane  0460     39.272724    -76.728612    142.000000
       Glendale_Park  0461     39.383700    -76.578817    109.000000
        Clifton_Park  0462     39.314306    -76.590533      0.000000
             LW-SCAN  0463     34.960470    -97.978840    358.000000
              Toulon  0464     43.135556      6.009444     50.000000
           Dunkerque  0465     51.035350      2.368117      5.000000
             Irkutsk  0466     51.799797    103.086644    670.000000
               Evora  0467     38.567833     -7.911500    293.000000
                ETNA  0468     37.613500     15.019433    736.000000
  Sao_Martinho_SONDA  0469    -29.443333    -53.823444    489.000000
      Brasilia_SONDA  0470    -15.601290    -47.713480    992.000000
     Petrolina_SONDA  0471     -9.069100    -40.320108    381.000000
  Campo_Grande_SONDA  0472    -20.438617    -54.538742    677.000000
     Ellington_Field  0473     29.600000    -95.180000     25.000000
            Hyytiala  0474     61.846447     24.295892    191.000000
                MVCO  0475     41.325000    -70.566700     10.000000
            Laegeren  0476     47.478349      8.364352    763.000000
            Egbert_X  0477     44.231543    -79.781414    264.000000
           Mace_Head  0478     53.325830     -9.899440     20.000000
               Blida  0479     36.508333      2.880556    230.000000
               Dhabi  0480     24.480556     54.382778     15.000000
  New_Hampshire_Univ  0481     43.132500    -70.920000     30.000000
       Crozet_Island  0482    -46.434806     51.850361    221.000000
            Mukdahan  0483     16.606667    104.676111    166.000000
          Los_Alamos  0484     35.873583   -106.326067   2290.000000
        BEIJING_2002  0485     39.933333    116.283333      0.000000
        Cabo_da_Roca  0486     38.781722     -9.497667    136.000000
             Messina  0487     38.197500     15.566833     15.000000
          Panama_BCI  0488      9.166667    -79.850000    119.000000
             Djougou  0489      9.760070      1.599010    467.000000
        Gwangju_GIST  0490     35.228278    126.843139     52.000000
        Thessaloniki  0491     40.630000     22.960000     60.000000
         Rio_Piedras  0492     18.401850    -66.051483     30.000000
       Umm_Al_Quwain  0493     25.533333     55.658333     20.000000
           Bu_Hamrah  0494     23.505833     54.530000    171.000000
           Abu_Dhabi  0495     24.476111     54.328889      7.000000
                Ames  0496     42.021361    -93.774778    338.000000
              Darwin  0497    -12.424000    130.891500     29.000000
         IER_Cinzana  0498     13.278433     -5.933867    285.000000
             Granada  0499     37.164000     -3.605000    680.000000
             Mezaira  0500     23.104520     53.754660    201.000000
          Al_Khaznah  0501     24.158611     55.100556    192.000000
               Hamim  0502     22.966667     54.300000    105.000000
        Jabal_Hafeet  0503     24.058217     55.776383   1059.000000
